Record_ID,Date,Year,Month,Season,Country,City,Latitude,Longitude,Population_Density_per_km2,Green_Cover_Pct,AQI,AQI_Category,Pollution_Alert_Level,PM2_5_ugm3,PM10_ugm3,NO2_ugm3,SO2_ugm3,CO_mgm3,O3_ugm3,VOC_ugm3,NH3_ugm3,Lead_Pb_ugm3,Benzene_ugm3,Formaldehyde_ugm3,Black_Carbon_ugm3,Temperature_C,Humidity_Pct,Wind_Speed_kmh,Wind_Direction,Atmospheric_Pressure_hPa,Visibility_km,Weather_Condition,Primary_Pollution_Source,Industry_Nearby,Traffic_Density,Health_Effects,Associated_Diseases,Respiratory_Risk_Index,Cardiovascular_Risk_Index,Cancer_Risk_Index,Daily_Mortality_Risk,Exceeds_WHO_PM25_Standard,WHO_PM25_Guideline_ugm3
GAP-00012,2019-07-02,2019,7,Summer,Philippines,Cebu,51.6262,-49.0266,749,34.8,74,Moderate,Advisory,43.92,95.26,85.6,8.8,2.81,107.24,85.74,4.44,1.4918,9.452,14.34,26.56,29.9,93.9,11.9,S,1004.2,9.07,Rainy,Power Plants (Coal),Yes,High,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,14.8,12.3,3.743,Low,Yes,15
GAP-00013,2019-06-09,2019,6,Summer,Australia,Perth,21.4392,-107.5616,29642,48.8,78,Moderate,Advisory,44.23,107.75,73.18,22.4,0.64,114.55,115.86,12.07,0.778,17.56,37.17,21.06,27.1,41.6,10.6,NW,1024.7,9.03,Rainy,Agricultural Burning,No,Medium,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,15.6,13.0,3.177,Low,Yes,15
GAP-00014,2021-01-16,2021,1,Winter,Vietnam,Da Nang,12.1353,-40.1709,29799,3.3,183,Unhealthy,Warning,107.67,182.42,22.98,36.86,0.87,160.72,12.03,46.73,0.6583,13.473,16.74,5.07,43.9,83.8,30.2,S,980.0,7.71,Smoggy,Biomass Burning,No,Very High,Everyone may experience health effects; sensitive groups may experience serious effects,"COPD, Ischemic Heart Disease, Stroke Risk, Lung Irritation",36.6,30.5,2.325,Moderate,Yes,15
GAP-00015,2020-09-18,2020,9,Autumn,Brazil,Rio de Janeiro,49.4975,61.3929,5999,11.9,52,Moderate,Advisory,25.04,61.73,32.64,21.93,0.8,79.93,54.95,11.93,0.2,19.394,35.87,1.71,8.9,48.1,26.2,NW,980.1,9.35,Foggy,Power Plants (Coal),Yes,Low,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,10.4,8.7,2.087,Low,Yes,15
GAP-00016,2023-11-19,2023,11,Autumn,Australia,Melbourne,-49.9089,105.2517,44128,6.4,148,Unhealthy for Sensitive Groups,Watch,99.84,193.92,51.07,7.62,2.15,168.88,143.03,41.82,0.986,8.77,36.64,1.91,19.0,24.0,4.6,W,987.4,8.15,Hazy,Pesticide Spraying,Yes,Very High,"Children, elderly, and people with lung/heart disease may experience health effects","Asthma, Bronchitis, Allergic Rhinitis",29.6,24.7,3.143,Moderate,Yes,15
GAP-00017,2020-12-07,2020,12,Winter,Egypt,Luxor,53.3999,45.011,29218,38.9,283,Very Unhealthy,Emergency,121.51,242.0,183.62,25.68,9.37,77.75,264.15,51.17,0.0689,7.555,31.48,15.34,36.4,68.0,6.1,S,965.6,6.46,Windy,Sandstorm/Dust Storm,Yes,Low,Health alert: serious health effects for everyone; emergency conditions for sensitive groups,"Lung Cancer Risk, Heart Attack, Arrhythmia, Premature Death Risk",56.6,47.2,1.145,High,Yes,15
GAP-00018,2018-10-25,2018,10,Autumn,Thailand,Pattaya,-52.091,93.9788,15355,23.7,131,Unhealthy for Sensitive Groups,Watch,79.01,163.82,26.25,53.26,8.09,116.41,161.8,52.47,0.3108,5.552,11.12,11.63,-12.7,64.4,12.1,NE,1012.5,8.36,Sunny,Mining Operations,No,Medium,"Children, elderly, and people with lung/heart disease may experience health effects","Asthma, Bronchitis, Allergic Rhinitis",26.2,21.8,1.122,Moderate,Yes,15
GAP-00019,2020-08-12,2020,8,Summer,China,Wuhan,29.9806,73.4749,36258,51.6,175,Unhealthy,Warning,76.2,167.39,148.92,76.89,9.69,146.59,77.18,15.02,1.1262,16.156,49.53,12.67,7.3,78.3,12.3,E,1034.5,7.81,Rainy,Volcanic Activity,Yes,High,Everyone may experience health effects; sensitive groups may experience serious effects,"COPD, Ischemic Heart Disease, Stroke Risk, Lung Irritation",35.0,29.2,4.051,Moderate,Yes,15
GAP-00020,2023-07-21,2023,7,Summer,Bangladesh,Gazipur,29.0648,76.903,31717,36.5,427,Hazardous,Hazardous Emergency,219.19,445.9,289.87,84.49,9.83,27.0,44.36,76.72,1.2709,7.163,47.86,20.46,14.0,53.4,3.4,E,967.3,4.66,Sunny,Sandstorm/Dust Storm,Yes,High,Health emergency: everyone is affected; life-threatening for sensitive groups,"Severe COPD, Heart Failure, Lung Cancer, Neurological Damage, Premature Death",85.4,71.2,3.857,Very High,Yes,15
GAP-00021,2019-01-26,2019,1,Winter,China,Shanghai,-36.6744,11.1647,19115,49.5,230,Very Unhealthy,Emergency,146.48,233.08,155.5,7.7,9.58,85.06,306.9,28.72,0.1765,2.946,38.19,18.74,-8.9,17.4,24.7,S,965.8,7.12,Cloudy,Residential Heating (Wood/Coal),Yes,Medium,Health alert: serious health effects for everyone; emergency conditions for sensitive groups,"Lung Cancer Risk, Heart Attack, Arrhythmia, Premature Death Risk",46.0,38.3,1.264,High,Yes,15
GAP-00022,2024-02-25,2024,2,Winter,USA,Denver,47.8488,74.6582,13166,4.3,84,Moderate,Advisory,43.03,80.49,91.56,39.81,6.21,138.07,48.72,7.6,1.1659,11.212,21.5,27.24,-8.3,53.4,0.9,NE,997.5,8.95,Sunny,Sandstorm/Dust Storm,Yes,Medium,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,16.8,14.0,3.322,Low,Yes,15
GAP-00023,2017-12-21,2017,12,Winter,Iran,Isfahan,-18.1883,143.8536,38463,10.8,463,Hazardous,Hazardous Emergency,218.19,414.61,302.97,21.31,18.57,84.18,559.36,78.25,0.8345,6.521,2.65,27.78,40.1,32.3,24.5,W,966.0,4.21,Hazy,Construction Dust,Yes,High,Health emergency: everyone is affected; life-threatening for sensitive groups,"Severe COPD, Heart Failure, Lung Cancer, Neurological Damage, Premature Death",92.6,77.2,2.048,Very High,Yes,15
GAP-00024,2019-11-30,2019,11,Autumn,Canada,Montreal,-16.309,93.7936,38138,2.9,69,Moderate,Advisory,35.55,79.53,84.4,33.09,0.36,77.07,12.59,27.52,0.2554,12.972,19.72,7.27,1.0,41.7,9.5,NW,996.3,9.14,Cloudy,Power Plants (Gas),Yes,Medium,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,13.8,11.5,1.554,Low,Yes,15
GAP-00025,2021-08-06,2021,8,Summer,France,Paris,49.7911,-1.1094,21218,49.9,148,Unhealthy for Sensitive Groups,Watch,62.58,152.73,85.09,43.32,10.21,24.07,195.08,44.58,0.2481,8.284,38.99,14.67,44.1,43.2,26.4,SE,991.4,8.15,Cloudy,Biomass Burning,Yes,Low,"Children, elderly, and people with lung/heart disease may experience health effects","Asthma, Bronchitis, Allergic Rhinitis",29.6,24.7,1.69,Moderate,Yes,15
GAP-00026,2017-07-26,2017,7,Summer,Poland,Warsaw,-10.2297,-98.7717,26707,45.7,93,Moderate,Advisory,37.58,59.2,86.73,25.06,5.25,165.24,82.59,58.36,1.1359,7.619,12.43,6.55,0.1,34.2,7.6,NE,1030.3,8.84,Rainy,Industrial Factories,No,Low,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,18.6,15.5,2.901,Low,Yes,15
GAP-00027,2017-05-27,2017,5,Spring,Germany,Cologne,-43.6247,69.7592,23436,24.1,114,Unhealthy for Sensitive Groups,Watch,63.39,149.1,85.59,32.22,7.51,78.59,25.38,3.27,1.133,12.444,35.35,6.78,-6.8,11.3,12.6,E,1007.2,8.57,Sunny,Biomass Burning,No,Medium,"Children, elderly, and people with lung/heart disease may experience health effects","Asthma, Bronchitis, Allergic Rhinitis",22.8,19.0,3.595,Moderate,Yes,15
GAP-00028,2017-02-18,2017,2,Winter,Philippines,Cebu,18.0958,-19.9174,40168,8.6,190,Unhealthy,Warning,120.67,228.86,159.99,82.06,13.54,35.0,264.43,39.88,0.3881,9.237,49.01,15.03,4.7,65.7,8.8,NE,966.1,7.62,Hazy,Power Plants (Gas),No,High,Everyone may experience health effects; sensitive groups may experience serious effects,"COPD, Ischemic Heart Disease, Stroke Risk, Lung Irritation",38.0,31.7,2.218,Moderate,Yes,15
GAP-00029,2024-09-08,2024,9,Autumn,Saudi Arabia,Mecca,31.2994,-119.1892,26379,8.6,175,Unhealthy,Warning,79.45,174.51,99.49,76.61,6.85,175.43,159.75,18.68,1.2329,6.967,17.71,1.44,17.9,57.0,12.8,N,1031.5,7.81,Smoggy,Power Plants (Gas),Yes,Very High,Everyone may experience health effects; sensitive groups may experience serious effects,"COPD, Ischemic Heart Disease, Stroke Risk, Lung Irritation",35.0,29.2,3.168,Moderate,Yes,15
GAP-00030,2017-10-15,2017,10,Autumn,Philippines,Manila,30.8957,102.2212,5176,9.7,95,Moderate,Advisory,57.6,115.87,22.55,18.22,0.11,157.61,14.22,48.18,1.4794,10.778,46.24,7.47,30.6,56.8,25.4,SE,965.0,8.81,Hazy,Construction Dust,No,Medium,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,19.0,15.8,4.423,Low,Yes,15
GAP-00031,2020-03-09,2020,3,Spring,Nigeria,Onitsha,12.1383,31.3813,6421,29.3,441,Hazardous,Hazardous Emergency,180.43,427.12,217.73,88.9,3.86,135.36,129.6,45.55,1.2612,1.875,27.0,7.38,5.6,51.7,12.8,SE,1011.9,4.49,Clear,Power Plants (Coal),No,Low,Health emergency: everyone is affected; life-threatening for sensitive groups,"Severe COPD, Heart Failure, Lung Cancer, Neurological Damage, Premature Death",88.2,73.5,3.156,Very High,Yes,15
GAP-00032,2016-01-18,2016,1,Winter,Australia,Sydney,50.2893,-115.8002,27496,11.2,9,Good,None,4.77,7.76,3.62,1.66,0.44,107.03,4.95,78.93,0.9091,4.821,5.54,5.01,-0.2,24.1,6.9,SE,982.8,9.89,Sunny,Wildfire/Forest Fire,No,Very High,No significant health effects,None,1.8,1.5,2.17,Low,No,15
GAP-00033,2015-08-29,2015,8,Summer,Indonesia,Medan,37.0309,15.706,49426,42.9,102,Unhealthy for Sensitive Groups,Watch,62.13,155.15,122.29,29.59,7.03,10.9,149.25,39.77,1.0846,16.435,36.06,16.28,13.6,83.8,7.6,E,1037.4,8.72,Windy,Oil Refinery,Yes,Very High,"Children, elderly, and people with lung/heart disease may experience health effects","Asthma, Bronchitis, Allergic Rhinitis",20.4,17.0,3.712,Moderate,Yes,15
GAP-00034,2018-03-14,2018,3,Spring,Argentina,Cordoba,-3.5199,-34.0612,32343,28.9,50,Good,None,31.52,50.03,34.56,23.32,1.24,110.96,28.48,36.89,0.8234,11.024,10.49,20.69,-9.7,22.2,0.6,W,969.3,9.38,Rainy,Sandstorm/Dust Storm,No,Medium,No significant health effects,None,10.0,8.3,2.408,Low,Yes,15
GAP-00035,2015-08-28,2015,8,Summer,UK,Birmingham,58.4833,-43.0459,40395,40.2,47,Good,None,30.51,75.21,9.16,17.24,3.31,40.81,5.78,59.55,0.8621,16.852,7.42,23.96,-2.9,24.4,6.2,N,1025.2,9.41,Sunny,Chemical Plants,Yes,Low,No significant health effects,None,9.4,7.8,2.715,Low,Yes,15
GAP-00036,2015-08-21,2015,8,Summer,South Korea,Busan,-37.591,88.3569,31323,44.1,90,Moderate,Advisory,54.44,106.26,86.51,40.53,4.25,101.76,60.49,46.62,0.5337,7.89,26.83,2.47,-1.3,57.8,15.4,NE,986.6,8.88,Rainy,Wildfire/Forest Fire,Yes,Low,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,18.0,15.0,1.998,Low,Yes,15
GAP-00037,2024-12-25,2024,12,Winter,Mexico,Mexico City,12.4826,3.7483,36046,24.4,181,Unhealthy,Warning,101.37,242.67,191.59,14.49,4.36,52.24,203.14,3.65,0.8553,15.273,43.9,10.59,34.3,19.7,29.7,SE,970.2,7.74,Hazy,Biomass Burning,Yes,Low,Everyone may experience health effects; sensitive groups may experience serious effects,"COPD, Ischemic Heart Disease, Stroke Risk, Lung Irritation",36.2,30.2,3.352,Moderate,Yes,15
GAP-00038,2017-12-04,2017,12,Winter,Canada,Montreal,54.0155,126.3325,26265,16.1,73,Moderate,Advisory,46.1,69.71,59.23,20.8,3.94,111.83,90.85,76.77,0.5144,4.624,21.47,8.99,21.9,90.2,5.3,SE,968.1,9.09,Hazy,Chemical Plants,Yes,High,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,14.6,12.2,1.689,Low,Yes,15
GAP-00039,2020-02-16,2020,2,Winter,Bangladesh,Gazipur,-26.5755,37.171,37480,52.3,435,Hazardous,Hazardous Emergency,264.91,641.74,414.44,35.02,18.99,113.14,283.01,59.18,1.4016,18.519,22.82,3.84,44.1,83.8,4.8,SW,1033.7,4.56,Cloudy,Power Plants (Coal),Yes,Very High,Health emergency: everyone is affected; life-threatening for sensitive groups,"Severe COPD, Heart Failure, Lung Cancer, Neurological Damage, Premature Death",87.0,72.5,4.186,Very High,Yes,15
GAP-00040,2020-09-03,2020,9,Autumn,USA,New York,-9.7008,29.6618,46290,3.0,55,Moderate,Advisory,25.39,58.09,45.0,3.39,1.74,156.8,76.25,37.79,0.7218,18.377,29.56,1.47,39.8,31.8,20.4,S,973.2,9.31,Rainy,Agricultural Burning,No,Low,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,11.0,9.2,2.954,Low,Yes,15
GAP-00041,2016-10-08,2016,10,Autumn,Russia,Novosibirsk,49.5706,31.5497,24911,3.2,199,Unhealthy,Warning,80.38,173.91,52.69,95.67,2.39,80.49,30.03,79.75,0.7538,11.948,3.82,22.62,-2.4,89.0,7.6,NW,975.3,7.51,Windy,Sandstorm/Dust Storm,No,Low,Everyone may experience health effects; sensitive groups may experience serious effects,"COPD, Ischemic Heart Disease, Stroke Risk, Lung Irritation",39.8,33.2,2.181,Moderate,Yes,15
GAP-00042,2016-02-29,2016,2,Winter,Argentina,Rosario,-51.613,-68.9577,44089,52.2,38,Good,None,23.34,47.33,27.67,9.24,1.44,140.11,6.72,27.41,0.1142,15.09,13.98,26.97,16.6,80.5,34.3,E,1027.2,9.53,Foggy,Shipping Ports,Yes,Low,No significant health effects,None,7.6,6.3,1.263,Low,Yes,15
GAP-00043,2021-10-13,2021,10,Autumn,Germany,Hamburg,-32.3206,30.3364,20129,44.4,87,Moderate,Advisory,43.65,90.33,103.27,24.41,4.73,146.9,129.05,48.65,1.2105,19.257,47.25,4.66,9.4,38.5,3.5,SE,1010.7,8.91,Sunny,Chemical Plants,Yes,High,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,17.4,14.5,4.329,Low,Yes,15
GAP-00044,2016-01-14,2016,1,Winter,Germany,Berlin,44.9819,-13.0663,48904,59.1,77,Moderate,Advisory,51.84,110.15,36.19,31.83,2.15,15.82,96.27,28.27,1.161,7.319,43.12,6.98,43.5,78.6,4.4,W,1005.3,9.04,Smoggy,Shipping Ports,Yes,Low,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,15.4,12.8,3.55,Low,Yes,15
GAP-00045,2022-02-22,2022,2,Winter,Thailand,Bangkok,-29.1973,-126.9761,12925,39.4,155,Unhealthy,Warning,74.49,152.08,132.81,20.56,1.75,151.94,228.93,42.53,0.2583,5.519,1.41,27.47,-7.9,60.7,10.0,S,1004.3,8.06,Clear,Wildfire/Forest Fire,No,Very High,Everyone may experience health effects; sensitive groups may experience serious effects,"COPD, Ischemic Heart Disease, Stroke Risk, Lung Irritation",31.0,25.8,0.821,Moderate,Yes,15
GAP-00046,2024-11-26,2024,11,Autumn,Pakistan,Lahore,59.4392,68.4215,24113,50.4,115,Unhealthy for Sensitive Groups,Watch,55.19,123.19,41.32,36.61,4.32,107.46,145.04,32.95,1.1566,8.499,18.02,28.78,-3.9,17.9,27.1,E,965.5,8.56,Foggy,Sandstorm/Dust Storm,Yes,High,"Children, elderly, and people with lung/heart disease may experience health effects","Asthma, Bronchitis, Allergic Rhinitis",23.0,19.2,3.099,Moderate,Yes,15
GAP-00047,2015-06-21,2015,6,Summer,Saudi Arabia,Jeddah,-0.6466,-62.2394,18073,42.6,79,Moderate,Advisory,41.0,100.62,16.5,19.31,1.66,101.77,20.85,67.48,1.2698,19.109,8.16,18.89,13.5,40.3,12.6,S,993.0,9.01,Rainy,Waste Incineration,Yes,High,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,15.8,13.2,3.658,Low,Yes,15
GAP-00048,2022-06-24,2022,6,Summer,Canada,Vancouver,-23.7915,4.5919,5369,41.8,142,Unhealthy for Sensitive Groups,Watch,90.86,199.41,54.97,42.2,3.94,25.57,195.68,11.81,1.4254,8.976,9.66,16.49,37.4,74.4,28.3,NE,1012.7,8.22,Rainy,Waste Incineration,No,Medium,"Children, elderly, and people with lung/heart disease may experience health effects","Asthma, Bronchitis, Allergic Rhinitis",28.4,23.7,3.493,Moderate,Yes,15
GAP-00049,2023-12-21,2023,12,Winter,Kenya,Nairobi,10.3043,47.2503,37315,50.8,163,Unhealthy,Warning,113.5,277.4,13.79,57.74,11.32,40.7,140.62,73.32,0.0519,13.979,15.22,27.77,43.3,93.1,16.9,E,1029.0,7.96,Smoggy,Cement Production,Yes,Medium,Everyone may experience health effects; sensitive groups may experience serious effects,"COPD, Ischemic Heart Disease, Stroke Risk, Lung Irritation",32.6,27.2,1.107,Moderate,Yes,15
GAP-00050,2023-12-30,2023,12,Winter,Philippines,Cebu,54.3377,15.4577,37164,52.3,61,Moderate,Advisory,28.61,46.36,8.14,21.33,1.6,133.21,7.41,25.91,0.8097,15.835,16.28,18.96,38.2,64.2,8.5,SE,962.0,9.24,Hazy,Shipping Ports,Yes,Low,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,12.2,10.2,2.737,Low,Yes,15
GAP-00051,2024-08-17,2024,8,Summer,Kenya,Nairobi,-25.799,-118.4244,32963,51.3,92,Moderate,Advisory,38.73,58.46,9.37,4.49,0.35,91.56,81.11,22.46,0.598,1.925,17.15,15.91,28.9,10.3,16.6,NW,983.8,8.85,Smoggy,Residential Heating (Wood/Coal),Yes,Very High,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,18.4,15.3,1.635,Low,Yes,15
GAP-00052,2017-07-02,2017,7,Summer,UK,Birmingham,-39.9577,-117.09,36382,36.9,81,Moderate,Advisory,41.74,90.98,25.68,38.49,4.79,25.2,51.92,70.45,1.4172,9.401,30.86,5.43,44.5,30.4,33.0,N,1012.0,8.99,Windy,Construction Dust,No,High,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,16.2,13.5,3.922,Low,Yes,15
GAP-00053,2023-09-03,2023,9,Autumn,Kenya,Nairobi,17.5108,-104.8411,37493,45.1,76,Moderate,Advisory,31.24,76.77,84.16,30.5,3.62,46.78,60.0,48.18,0.788,5.279,26.0,14.99,44.8,89.0,16.5,S,1009.8,9.05,Clear,Waste Incineration,No,High,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,15.2,12.7,2.36,Low,Yes,15
GAP-00054,2017-01-01,2017,1,Winter,Pakistan,Faisalabad,68.9344,-113.0828,20470,41.3,192,Unhealthy,Warning,92.1,150.08,228.23,91.79,12.44,147.62,190.36,44.52,0.1314,8.228,18.95,8.16,28.4,53.6,3.3,S,977.6,7.6,Smoggy,Industrial Factories,Yes,Very High,Everyone may experience health effects; sensitive groups may experience serious effects,"COPD, Ischemic Heart Disease, Stroke Risk, Lung Irritation",38.4,32.0,1.053,Moderate,Yes,15
GAP-00055,2019-11-23,2019,11,Autumn,Vietnam,Ho Chi Minh City,55.2046,134.3617,22584,45.4,98,Moderate,Advisory,56.62,131.62,47.58,33.38,4.2,55.39,129.46,64.0,0.988,17.027,43.43,21.4,35.2,71.4,24.0,NE,1009.5,8.78,Clear,Oil Refinery,Yes,High,Unusually sensitive people may experience minor respiratory symptoms,Mild asthma exacerbation,19.6,16.3,3.696,Low,Yes,15
GAP-00056,2015-01-07,2015,1,Winter,Poland,Wroclaw,40.1285,18.8483,10756,8.6,47,Good,None,18.87,43.78,15.54,21.38,0.05,104.55,53.63,21.44,0.2905,1.774,16.66,17.02,-8.0,43.1,0.8,SE,1025.5,9.41,Smoggy,Waste Incineration,No,Low,No significant health effects,None,9.4,7.8,1.003,Low,Yes,15
GAP-00057,2022-06-10,2022,6,Summer,Egypt,Giza,25.9467,33.4589,11989,58.2,289,Very Unhealthy,Emergency,145.24,309.74,359.8,16.11,20.33,126.94,36.14,24.78,1.0625,1.44,29.32,10.7,22.3,14.0,30.6,NE,1037.9,6.39,Smoggy,Mining Operations,No,Very High,Health alert: serious health effects for everyone; emergency conditions for sensitive groups,"Lung Cancer Risk, Heart Attack, Arrhythmia, Premature Death Risk",57.8,48.2,2.783,High,Yes,15
GAP-00058,2021-03-20,2021,3,Spring,Mexico,Monterrey,-20.8426,131.4875,11772,14.6,234,Very Unhealthy,Emergency,98.21,228.0,120.91,96.01,4.61,10.18,60.71,38.01,1.4165,2.134,42.78,16.05,34.6,36.3,29.5,E,1021.8,7.08,Foggy,Construction Dust,No,Very High,Health alert: serious health effects for everyone; emergency conditions for sensitive groups,"Lung Cancer Risk, Heart Attack, Arrhythmia, Premature Death Risk",46.8,39.0,3.795,High,Yes,15
GAP-00059,2019-07-22,2019,7,Summer,Egypt,Giza,-29.5373,-104.9298,39391,58.1,323,Hazardous,Hazardous Emergency,171.09,418.08,187.01,103.71,9.83,56.62,476.87,33.34,1.3413,4.676,11.05,1.42,24.1,42.4,30.3,N,997.9,5.96,Hazy,Mining Operations,No,Medium,Health emergency: everyone is affected; life-threatening for sensitive groups,"Severe COPD, Heart Failure, Lung Cancer, Neurological Damage, Premature Death",64.6,53.8,3.137,Very High,Yes,15
